name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
DASH-2249 Brand2,"{'$ref': 'Cogs', '$id': {'$oid': '5c76d20595144c5375687b4e'}}",DASH-2249 1,Frozen,False,,5c76db7295144c5375687b50,511111306887,Cogs,5c76d20595144c5375687b4e
ONE A DAY® WOMENS,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",511111805854,Health & Wellness,False,,5da609991dda2c3e1416ae90,511111805854,Cogs,53e10d6368abd3c7065097cc
Kettle Brand,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",KETTLE BRAND,Snacks,False,,5afda575e4b0c11cfecd49f9,511111104537,Cogs,5a734034e4b0d58f376be874
Campbell's Soup at Hand,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",CAMPBELLS SOUP AT HAND ,Canned Goods & Soups,False,,5ab154dde4b0915382df761f,511111404392,Cogs,5a734034e4b0d58f376be874
test brand @1597936021514,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9195be37ce5a0e01b95f'}}",,Baking,,BAKING,5f3e9195be37ce5a0e01b960,511111615583,Cogs,5f3e9195be37ce5a0e01b95f
Rainbo,"{'$ref': 'Cogs', '$id': {'$oid': '5fb6b608be37ce522e165cb9'}}",RAINBO,Grocery,False,GROCERY,5fb82faebe37ce522e165ce9,511111117841,Cogs,5fb6b608be37ce522e165cb9
Crispin Cider Company,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",CRISPIN,Beer Wine Spirits,False,,57e58157e4b0ac389136a30a,511111602279,Cogs,5332f709e4b03c9a25efd0f1
test brand @1607707830137,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",TEST BRANDCODE @1607707830137,Baking,False,BAKING,5fd3acb6be37ce0d9386bb41,511111318194,Cogs,5fd3acb5be37ce0d9386bb3e
Claritin®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",CLARITIN®,Health & Wellness,False,HEALTHY_AND_WELLNESS,5e90a545ee7f2d70340f40d7,511111114413,Cogs,5d9b4f591dda2c6225a284aa
Cookie Crisp™,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",COOKIE CRISP,Breakfast & Cereal,,,5daf5e94a60b87376833e362,511111706045,Cogs,5332f5f3e4b03c9a25efd0ae
test brand @1605535020441,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",TEST BRANDCODE @1605535020442,Baking,False,BAKING,5fb2852cbe37ce522e165caf,511111717317,Cogs,5fb2852cbe37ce522e165cae
Keebler,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",,Snacks,,,5332f743e4b03c9a25efd109,511111903789,Cpgs,5332f5f2e4b03c9a25efd0aa
test brand @1604946244750,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070ff'}}",TEST BRANDCODE @1604946244750,Baking,False,BAKING,5fa98944be37ce239d107100,511111417262,Cogs,5fa98944be37ce239d1070ff
